uniprot	gene_symbol
O00519	FAAH
O00522	KRIT1
O00526	UPK2
O00533	CHL1
O00534	VWA5A
O00541	PES1
O00548	DLL1
O00555	CACNA1A
O00559	EBAG9
O00560	SDCBP
O00562	PITPNM1
O00566	MPHOSPH10
O00567	NOP56
O00570	SOX1
O00571	DDX3X
O00574	CXCR6
O00584	RNASET2
O00585	CCL21
O00587	MFNG
O00590	ACKR2
O00591	GABRP
O00592	PODXL
O00602	FCN1
O00625	PIR
O00626	CCL22
O00628	PEX7
O00629	KPNA4
O00631	SLN
O00635	TRIM38
O00712	NFIB
O00716	E2F3
O00743	PPP6C
O00744	WNT10B
O00746	NME4
O00748	CES2
O00750	PIK3C2B
O00754	MAN2B1
O00757	FBP2
O00762	UBE2C
O00763	ACACB
O00764	PDXK
O00767	SCD
O14490	DLGAP1
O14492	SH2B2
O14494	PLPP1
O14495	PLPP3
O14497	ARID1A
O14498	ISLR
O14503	BHLHE40
O14508	SOCS2
O14511	NRG2
O14512	SOCS7
O14513	NCKAP5
O14514	ADGRB1
O14519	CDK2AP1
O14520	AQP7
O14521	SDHD
O14522	PTPRT
O14523	C2CD2L
O14524	NEMP1
O14525	ASTN1
O14526	FCHO1
O14529	CUX2
O14531	DPYSL4
O14543	SOCS3
O14544	SOCS6
O14545	TRAFD1
O14548	COX7A2L
O14556	GAPDHS
O14558	HSPB6
O14559	ARHGAP33
O14562	UBFD1
O14569	CYB561D2
O14576	DYNC1I1
O14578	CIT
O14579	COPE
O14593	RFXANK
O14595	CTDSP2
O14602	EIF1AY
O14604	TMSB4Y
O14607	UTY
O14610	GNGT2
O14613	CDC42EP2
O14617	AP3D1
O14618	CCS
O14625	CXCL11
O14626	GPR171
O14627	CDX4
O14628	ZNF195
O14638	ENPP3
O14639	ABLIM1
O14640	DVL1
O14641	DVL2
O14645	DNALI1
O14649	KCNK3
O14653	GOSR2
O14654	IRS4
O14656	TOR1A
O14657	TOR1B
O14662	STX16
O14668	PRRG1
O14669	PRRG2
O14672	ADAM10
O14678	ABCD4
O14681	EI24
O14682	ENC1
O14684	PTGES
O14686	KMT2D
O14709	ZNF197
O14713	ITGB1BP1
O14715	RGPD8
O14718	RRH
O14727	APAF1
O14730	RIOK3
O14732	IMPA2
O14733	MAP2K7
O14735	CDIPT
O14737	PDCD5
O14744	PRMT5
O14745	NHERF1
O14746	TERT
O14756	HSD17B6
O14757	CHEK1
O14763	TNFRSF10B
O14764	GABRD
O14770	MEIS2
O14771	ZNF213
O14772	FPGT
O14773	TPP1
O14775	GNB5
O14776	TCERG1
O14777	NDC80
O14782	KIF3C
O14786	NRP1
O14787	TNPO2
O14788	TNFSF11
O14791	APOL1
O14792	HS3ST1
O14793	MSTN
O14795	UNC13B
O14796	SH2D1B
O14798	TNFRSF10C
O14802	POLR3A
O14807	MRAS
O14810	CPLX1
O14813	PHOX2A
O14815	CAPN9
O14817	TSPAN4
O14818	PSMA7
O14827	RASGRF2
O14828	SCAMP3
O14829	PPEF1
O14830	PPEF2
O14832	PHYH
O14836	TNFRSF13B
O14842	FFAR1
O14862	AIM2
O14863	SLC30A4
O14867	BACH1
O14874	BCKDK
O14880	MGST3
O14893	GEMIN2
O14894	TM4SF5
O14896	IRF6
O14901	KLF11
O14904	WNT9A
O14905	WNT9B
O14907	TAX1BP3
O14908	GIPC1
O14910	LIN7A
O14917	PCDH17
O14920	IKBKB
O14921	RGS13
O14924	RGS12
O14925	TIMM23
O14926	FSCN2
O14929	HAT1
O14931	NCR3
O14936	CASK
O14939	PLD2
O14944	EREG
O14948	TFEC
O14950	MYL12B
O14957	UQCR11
O14958	CASQ2
O14964	HGS
O14965	AURKA
O14966	RAB29
O14967	CLGN
O14972	VPS26C
O14974	PPP1R12A
O14975	SLC27A2
O14976	GAK
O14977	AZIN1
O14978	ZNF263
O14979	HNRNPDL
O14980	XPO1
O14981	BTAF1
O14983	ATP2A1
O14986	PIP5K1B
O14990	PPP1R2C
O14994	SYN3
O15013	ARHGEF10
O15014	ZNF609
O15020	SPTBN2
O15021	MAST4
O15031	PLXNB2
O15033	AREL1
O15034	RIMBP2
O15037	KHNYN
O15040	TECPR2
O15041	SEMA3E
O15042	U2SURP
O15047	SETD1A
O15049	N4BP3
O15050	TRANK1
O15054	KDM6B
O15055	PER2
O15056	SYNJ2
O15060	ZBTB39
O15061	SYNM
O15062	ZBTB5
O15067	PFAS
O15068	MCF2L
O15069	NACAD
O15075	DCLK1
O15078	CEP290
O15079	SNPH
O15083	ERC2
O15084	ANKRD28
O15085	ARHGEF11
O15090	ZNF536
O15105	SMAD7
O15111	CHUK
O15116	LSM1
O15117	FYB1
O15119	TBX3
O15120	AGPAT2
O15121	DEGS1
O15123	ANGPT2
O15126	SCAMP1
O15127	SCAMP2
O15131	KPNA5
O15143	ARPC1B
O15144	ARPC2
O15146	MUSK
O15151	MDM4
O15155	BET1
O15156	ZBTB7B
O15160	POLR1C
O15162	PLSCR1
O15164	TRIM24
O15165	LDLRAD4
O15169	AXIN1
O15173	PGRMC2
O15194	CTDSPL
O15195	VILL
O15198	SMAD9
O15204	ADAMDEC1
O15205	UBD
O15209	ZBTB22
O15211	RGL2
O15212	PFDN6
O15213	WDR46
O15217	GSTA4
O15218	ACKR5
O15226	NKRF
O15228	GNPAT
O15229	KMO
O15230	LAMA5
O15231	ZNF185
O15232	MATN3
O15235	MRPS12
O15239	NDUFA1
O15240	VGF
O15243	LEPROT
O15244	SLC22A2
O15245	SLC22A1
O15247	CLIC2
O15254	ACOX3
O15258	RER1
O15259	NPHP1
O15264	MAPK13
O15265	ATXN7
O15266	SHOX
O15269	SPTLC1
O15270	SPTLC2
O15273	TCAP
O15287	FANCG
O15294	OGT
O15296	ALOX15B
O15297	PPM1D
O15304	SIVA1
O15305	PMM2
O15315	RAD51B
O15318	POLR3G
O15321	TM9SF1
O15327	INPP4B
O15335	CHAD
O15342	ATP6V0E1
O15344	MID1
O15347	HMGB3
O15350	TP73
O15353	FOXN1
O15354	GPR37
O15355	PPM1G
O15357	INPPL1
O15360	FANCA
O15370	SOX12
O15371	EIF3D
O15372	EIF3H
O15374	SLC16A4
O15375	SLC16A5
O15379	HDAC3
O15381	NVL
O15382	BCAT2
O15391	YY2
O15392	BIRC5
O15393	TMPRSS2
O15394	NCAM2
O15397	IPO8
O15399	GRIN2D
O15400	STX7
O15403	SLC16A6
O15405	TOX3
O15409	FOXP2
O15417	TNRC18
O15431	SLC31A1
O15432	SLC31A2
O15438	ABCC3
O15439	ABCC4
O15444	CCL25
O15446	POLR1G
O15455	TLR3
O15457	MSH4
O15460	P4HA2
O15467	CCL16
O15482	TEX28; TEX28P1; TEX28P2
O15484	CAPN5
O15488	GYG2
O15492	RGS16
O15496	PLA2G10
O15498	YKT6
O15503	INSIG1
O15504	NUP42
O15511	ARPC5
O15514	POLR2D
O15516	CLOCK
O15519	CFLAR
O15520	FGF10
O15524	SOCS1
O15525	MAFG
O15527	OGG1
O15528	CYP27B1
O15530	PDPK1
O15534	PER1
O15535	ZSCAN9
O15537	RS1
O15539	RGS5
O15540	FABP7
O15541	RNF113A
O15547	P2RX6
O15550	KDM6A
O15553	MEFV
O15554	KCNN4
O43143	DHX15
O43147	SGSM2
O43148	RNMT
O43149	ZZEF1
O43150	ASAP2
O43151	TET3
O43155	FLRT2
O43156	TTI1
O43157	PLXNB1
O43159	RRP8
O43164	PJA2
O43166	SIPA1L1
O43167	ZBTB24
O43169	CYB5B
O43172	PRPF4
O43173	ST8SIA3
O43174	CYP26A1
O43175	PHGDH
O43181	NDUFS4
O43182	ARHGAP6
O43184	ADAM12
O43187	IRAK2
